date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:46:28	17863/17863	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-45c7%22	https://technext.github.io/tulen/img/blog/7.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/blog/7.jpg	(from https://technext.github.io/tulen/blog.html)
23:46:28	86123/86123	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-1506b%22	https://technext.github.io/tulen/img/gallery/10.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/gallery/10.jpg	(from https://technext.github.io/tulen/gallery.html)
23:46:28	7001/7001	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-1b59%22	https://technext.github.io/tulen/img/blog/9.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/blog/9.jpg	(from https://technext.github.io/tulen/blog.html)
23:46:30	19908/19908	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-4dc4%22	https://technext.github.io/tulen/img/blog/8.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/blog/8.jpg	(from https://technext.github.io/tulen/blog.html)
23:46:31	16870/16870	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-41e6%22	https://technext.github.io/tulen/img/blog/6.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/blog/6.jpg	(from https://technext.github.io/tulen/blog.html)
23:46:32	14718/14718	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-397e%22	https://technext.github.io/tulen/img/blog/10.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/blog/10.jpg	(from https://technext.github.io/tulen/blog.html)
23:46:33	8393/8393	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-20c9%22	https://technext.github.io/tulen/img/blog/12.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/blog/12.jpg	(from https://technext.github.io/tulen/blog.html)
23:46:34	8715/8715	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-220b%22	https://technext.github.io/tulen/img/blog/14.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/blog/14.jpg	(from https://technext.github.io/tulen/blog.html)
23:46:35	13038/13038	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-32ee%22	https://technext.github.io/tulen/img/blog/11.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/blog/11.jpg	(from https://technext.github.io/tulen/blog.html)
23:46:36	7081/7081	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-1ba9%22	https://technext.github.io/tulen/img/blog/15.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/blog/15.jpg	(from https://technext.github.io/tulen/blog.html)
23:46:37	10494/10494	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-28fe%22	https://technext.github.io/tulen/img/blog/13.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/blog/13.jpg	(from https://technext.github.io/tulen/blog.html)
23:46:39	14294/14294	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-37d6%22	https://technext.github.io/tulen/img/blog-details/2.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/blog-details/2.jpg	(from https://technext.github.io/tulen/blog-details.html)
23:46:40	30059/30059	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-756b%22	https://technext.github.io/tulen/img/blog-details/1.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/blog-details/1.jpg	(from https://technext.github.io/tulen/blog-details.html)
23:46:41	22466/22466	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-57c2%22	https://technext.github.io/tulen/img/blog-details/3.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/blog-details/3.jpg	(from https://technext.github.io/tulen/blog-details.html)
23:46:41	4744/4744	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-1288%22	https://technext.github.io/tulen/img/blog-details/4.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/blog-details/4.jpg	(from https://technext.github.io/tulen/blog-details.html)
23:46:42	12775/12775	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-31e7%22	https://technext.github.io/tulen/img/blog-details/5.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/blog-details/5.jpg	(from https://technext.github.io/tulen/blog-details.html)
23:46:43	2501/2501	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-9c5%22	https://technext.github.io/tulen/img/blog-details/user-1.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/blog-details/user-1.jpg	(from https://technext.github.io/tulen/blog-details.html)
23:46:44	87259/87259	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-154db%22	https://technext.github.io/tulen/img/blog-details/thumbnail.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/blog-details/thumbnail.jpg	(from https://technext.github.io/tulen/blog-details.html)
23:46:44	2610/2610	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-a32%22	https://technext.github.io/tulen/img/blog-details/user-2.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/blog-details/user-2.jpg	(from https://technext.github.io/tulen/blog-details.html)
23:46:45	2397/2397	---M--	200	added ('OK')	image/jpeg	etag:%225e64ced7-95d%22	https://technext.github.io/tulen/img/blog-details/user-3.jpg	/home/cod/Desktop/advert-web/technext.github.io/tulen/img/blog-details/user-3.jpg	(from https://technext.github.io/tulen/blog-details.html)
23:48:02	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	application/javascript	etag:W/%225e64ced7-ad36%22	https://technext.github.io/tulen/js/owl.carousel.min.js	/home/cod/Desktop/advert-web/technext.github.io/tulen/js/owl.carousel.min.js	(from https://technext.github.io/tulen/index.html)
23:48:05	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	application/javascript	etag:W/%225e64ced7-15283%22	https://technext.github.io/tulen/js/vendor/jquery-3.2.1.min.js	/home/cod/Desktop/advert-web/technext.github.io/tulen/js/vendor/jquery-3.2.1.min.js	(from https://technext.github.io/tulen/index.html)
23:48:05	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	application/javascript	etag:W/%225e64ced7-ea6a%22	https://technext.github.io/tulen/js/bootstrap.min.js	/home/cod/Desktop/advert-web/technext.github.io/tulen/js/bootstrap.min.js	(from https://technext.github.io/tulen/index.html)
23:48:05	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	application/javascript	etag:W/%225e64ced7-8a75%22	https://technext.github.io/tulen/js/isotope.pkgd.min.js	/home/cod/Desktop/advert-web/technext.github.io/tulen/js/isotope.pkgd.min.js	(from https://technext.github.io/tulen/index.html)
